CHEMBL7531,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL490752,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(F)cc1O
CHEMBL489719,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)cc1
CHEMBL241861,O=C(/C=C/c1ccc(Cl)cc1)c1ccccc1O
CHEMBL139679,O=C(/C=C/c1ccc(Cl)cc1)c1ccc(O)cc1O
CHEMBL406861,COc1ccc(C(=O)/C=C/c2ccc(Cl)cc2)c(O)c1
CHEMBL466872,O=C1Nc2ccc(/C=C/c3ccccc3)cc2C1=O
CHEMBL26138,Cn1c(=O)c2c(nc(/C=C/c3cccc(Cl)c3)n2C)n(C)c1=O
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL487235,C=C(Br)COc1ccc2c(oc(=O)c3ccccc32)c1C
CHEMBL488075,C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCCC3
CHEMBL488074,C=C(Br)COc1ccc2c3c(c(=O)oc2c1C)CCC3
CHEMBL488076,CC(=O)COc1ccc2c3c(c(=O)oc2c1C)CCC3
CHEMBL489079,NC/C(=C/F)CCc1ccc(F)cc1
CHEMBL560280,CC(=O)N1N=C(c2c(O)cccc2O)CC1c1cccc(C)c1
CHEMBL396778,C[C@H](NCc1ccc(OCc2cccc(F)c2)cc1)C(N)=O
CHEMBL572233,COc1ccc(-c2cc3cc(C)ccc3oc2=O)cc1
CHEMBL570731,COc1cccc(-c2cc3cc(C)ccc3oc2=O)c1
CHEMBL577099,Cc1ccc2oc(=O)c(-c3ccc(O)cc3)cc2c1
CHEMBL598096,COc1ccc2c(c1)O[C@H](c1ccc(F)cc1)CC2=O
CHEMBL600385,COc1ccc2c(c1)O[C@@H](c1ccc(F)cc1)CC2=O
CHEMBL601205,Cc1ccc2c(c1)O[C@H](c1ccccc1)CC2=O
CHEMBL601844,Cc1ccc2c(c1)O[C@@H](c1ccccc1)CC2=O
CHEMBL597472,Cc1ccc([C@@H]2CC(=O)c3ccc(F)cc3O2)cc1
CHEMBL598151,Cc1ccc([C@H]2CC(=O)c3ccc(F)cc3O2)cc1
CHEMBL601843,O=C1C[C@@H](c2ccc(F)cc2)Oc2cc(F)ccc21
CHEMBL599762,O=C1C[C@H](c2ccc(F)cc2)Oc2cc(F)ccc21
CHEMBL598746,COc1ccc2c(c1)OC(c1ccc(F)cc1)CC2=O
CHEMBL600596,Cc1ccc2c(c1)OC(c1ccc(F)cc1)CC2=O
CHEMBL598720,COc1ccc(C2CC(=O)c3ccc(F)cc3O2)cc1
CHEMBL600391,Cc1ccc(C2CC(=O)c3ccc(F)cc3O2)cc1
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL602260,Cn1c(=O)c2c(nc(OCc3cccc(Cl)c3)n2C)n(C)c1=O
CHEMBL589765,Cc1cccc(COc2nc3c(c(=O)n(C)c(=O)n3C)n2C)c1
CHEMBL597373,c1ccc(COc2ccc(C3CNCCS3)cc2)cc1
CHEMBL608141,CCCOc1ccc(C2CNCCS2)cc1
CHEMBL597372,CCCCOc1ccc(C2CNCCS2)cc1
CHEMBL598394,O=C1CSC(c2ccc(OCc3ccccc3)cc2)CN1
CHEMBL315361,O=C(O)c1coc2ccccc2c1=O
CHEMBL1213718,COc1cccc(-c2csc(N/N=C3\CCCC3C)n2)c1
CHEMBL1213717,COc1cccc(-c2csc(N/N=C3\CCC(C)C3)n2)c1
CHEMBL1213779,COc1cccc(-c2csc(NN=C3CCCCC3)n2)c1
CHEMBL1213838,COc1cccc(-c2csc(N/N=C3\CCCCC3C)n2)c1
CHEMBL1213839,COc1cccc(-c2csc(N/N=C3\CCCC(C)C3)n2)c1
CHEMBL1213840,COc1cccc(-c2csc(NN=C3CCC(C)CC3)n2)c1
CHEMBL1213841,COc1cccc(-c2csc(NN=C3CCCCCC3)n2)c1
CHEMBL1213915,COc1cccc(-c2csc(N/N=C(\C)c3cccnc3)n2)c1
CHEMBL1213968,COc1cccc(-c2csc(N/N=C(\C)c3ccncc3)n2)c1
CHEMBL595,CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1
CHEMBL7002,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1
CHEMBL1222280,CN(C)c1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1
CHEMBL363555,CCOc1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1
CHEMBL1243059,CC1CCC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1
CHEMBL1243088,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1
CHEMBL1243089,C[C@H]1CCC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1
CHEMBL1243124,Cc1ccc(-c2csc(N/N=C3/CCC[C@@H](C)C3)n2)cc1
CHEMBL1243151,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)C1
CHEMBL1243152,C[C@H]1CCC/C(=N/Nc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)C1
CHEMBL1243180,CC1CCC/C(=N/Nc2nc(-c3ccc(C#N)cc3)cs2)C1
CHEMBL1243181,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(C#N)cc3)cs2)C1
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1
CHEMBL1242937,CC1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL1242938,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL1242964,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1
CHEMBL1240558,CC1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1
