CHEMBL313941,3HS4,-8.9
CHEMBL313941,2P16,-8.8
CHEMBL313941,1UDT,-11.7
CHEMBL313941,1OYT,0.0
CHEMBL313941,3BQD,-10.2
CHEMBL121978,2ITY,-7.7
CHEMBL121978,1H00,-9.3
CHEMBL121978,1HSG,-8.1
CHEMBL121978,4EY7,-9.8
CHEMBL121978,3ERT,-12.1
CHEMBL121978,3HS4,-8.3
CHEMBL121978,2P16,-9.7
CHEMBL121978,1UDT,-11.5
CHEMBL121978,1OYT,0.0
CHEMBL121978,3BQD,-2.6
CHEMBL544127,2ITY,-7.3
CHEMBL544127,1H00,-8.5
CHEMBL544127,1HSG,-6.6
CHEMBL544127,4EY7,-9.5
CHEMBL544127,3ERT,-7.7
CHEMBL544127,3HS4,-7.5
CHEMBL544127,2P16,-7.8
CHEMBL544127,1UDT,-8.6
CHEMBL544127,1OYT,-0.0
CHEMBL544127,3BQD,-8.3
CHEMBL144970,2ITY,-7.9
CHEMBL144970,1H00,-9.3
CHEMBL144970,1HSG,-7.4
CHEMBL144970,4EY7,-11.2
CHEMBL144970,3ERT,-8.0
CHEMBL144970,3HS4,-8.5
CHEMBL144970,2P16,-9.0
CHEMBL144970,1UDT,-9.0
CHEMBL144970,1OYT,-0.0
CHEMBL144970,3BQD,-9.7
CHEMBL2370954,2ITY,-7.6
CHEMBL2370954,1H00,-8.9
CHEMBL2370954,1HSG,-7.0
CHEMBL2370954,4EY7,-10.7
CHEMBL2370954,3ERT,-7.4
CHEMBL2370954,3HS4,-8.8
CHEMBL2370954,2P16,-8.3
CHEMBL2370954,1UDT,-8.8
CHEMBL2370954,1OYT,-0.0
CHEMBL2370954,3BQD,-9.8
CHEMBL541089,2ITY,-7.2
CHEMBL541089,1H00,-8.2
CHEMBL541089,1HSG,-6.8
CHEMBL541089,4EY7,-9.1
CHEMBL541089,3ERT,-7.6
CHEMBL541089,3HS4,-7.0
CHEMBL541089,2P16,-7.0
CHEMBL541089,1UDT,-8.4
CHEMBL541089,1OYT,-0.0
CHEMBL541089,3BQD,-8.3
CHEMBL148387,2ITY,-8.4
CHEMBL148387,1H00,-9.2
CHEMBL148387,1HSG,-7.6
CHEMBL148387,4EY7,-10.5
CHEMBL148387,3ERT,-8.8
CHEMBL148387,3HS4,-8.2
CHEMBL148387,2P16,-7.9
CHEMBL148387,1UDT,-9.1
CHEMBL148387,1OYT,-0.0
CHEMBL148387,3BQD,-9.2
CHEMBL176744,2ITY,-9.3
CHEMBL176744,1H00,-11.1
CHEMBL176744,1HSG,-8.6
CHEMBL176744,4EY7,-13.0
CHEMBL176744,3ERT,-10.2
CHEMBL176744,3HS4,-9.5
CHEMBL176744,2P16,-10.2
CHEMBL176744,1UDT,-11.4
CHEMBL176744,1OYT,0.0
CHEMBL176744,3BQD,-9.9
CHEMBL367476,2ITY,-8.9
CHEMBL367476,1H00,-10.5
CHEMBL367476,1HSG,-8.4
CHEMBL367476,4EY7,-12.2
CHEMBL367476,3ERT,-10.0
CHEMBL367476,3HS4,-8.3
CHEMBL367476,2P16,-10.2
CHEMBL367476,1UDT,-11.4
CHEMBL367476,1OYT,0.0
CHEMBL367476,3BQD,-9.0
CHEMBL337921,2ITY,-8.8
CHEMBL337921,1H00,-9.9
CHEMBL337921,1HSG,-8.5
CHEMBL337921,4EY7,-12.1
CHEMBL337921,3ERT,-10.3
CHEMBL337921,3HS4,-9.7
CHEMBL337921,2P16,-9.9
CHEMBL337921,1UDT,-11.1
CHEMBL337921,1OYT,-0.0
CHEMBL337921,3BQD,-7.8
CHEMBL340500,2ITY,-8.5
CHEMBL340500,1H00,-10.5
CHEMBL340500,1HSG,-8.4
CHEMBL340500,4EY7,-12.0
CHEMBL340500,3ERT,-9.8
CHEMBL340500,3HS4,-9.0
CHEMBL340500,2P16,-9.4
CHEMBL340500,1UDT,-11.2
CHEMBL340500,1OYT,-0.0
CHEMBL340500,3BQD,-7.7
CHEMBL323642,2ITY,-8.4
CHEMBL323642,1H00,-9.5
CHEMBL323642,1HSG,-7.1
CHEMBL323642,4EY7,-10.6
CHEMBL323642,3ERT,-8.6
CHEMBL323642,3HS4,-8.5
CHEMBL323642,2P16,-9.2
CHEMBL323642,1UDT,-10.8
CHEMBL323642,1OYT,0.0
CHEMBL323642,3BQD,-8.8
CHEMBL313482,2ITY,-9.0
CHEMBL313482,1H00,-9.9
CHEMBL313482,1HSG,-7.6
CHEMBL313482,4EY7,-10.4
CHEMBL313482,3ERT,-8.2
CHEMBL313482,3HS4,-8.8
CHEMBL313482,2P16,-8.9
CHEMBL313482,1UDT,-10.8
CHEMBL313482,1OYT,-0.0
CHEMBL313482,3BQD,-7.4
CHEMBL86512,2ITY,-8.3
CHEMBL86512,1H00,-9.2
CHEMBL86512,1HSG,-7.4
CHEMBL86512,4EY7,-9.2
CHEMBL86512,3ERT,-8.4
CHEMBL86512,3HS4,inf
CHEMBL86512,2P16,inf
CHEMBL86512,1UDT,inf
CHEMBL86512,1OYT,inf
CHEMBL86512,3BQD,inf
CHEMBL115152,2ITY,-7.8
CHEMBL115152,1H00,-9.1
CHEMBL115152,1HSG,-6.8
CHEMBL115152,4EY7,-10.6
CHEMBL115152,3ERT,-8.3
CHEMBL115152,3HS4,-7.4
CHEMBL115152,2P16,-7.6
CHEMBL115152,1UDT,-9.4
CHEMBL115152,1OYT,0.0
CHEMBL115152,3BQD,-8.9
CHEMBL334291,2ITY,-7.5
CHEMBL334291,1H00,-9.3
CHEMBL334291,1HSG,-6.7
CHEMBL334291,4EY7,-10.5
CHEMBL334291,3ERT,-8.5
CHEMBL334291,3HS4,-8.4
CHEMBL334291,2P16,-8.0
CHEMBL334291,1UDT,-9.7
CHEMBL334291,1OYT,-0.0
CHEMBL334291,3BQD,-8.9
CHEMBL114145,2ITY,-7.7
CHEMBL114145,1H00,-9.8
CHEMBL114145,1HSG,-6.9
CHEMBL114145,4EY7,-10.6
CHEMBL114145,3ERT,-9.2
CHEMBL114145,3HS4,-8.2
CHEMBL114145,2P16,-8.0
CHEMBL114145,1UDT,-9.8
CHEMBL114145,1OYT,-0.0
CHEMBL114145,3BQD,-8.8
CHEMBL111195,2ITY,inf
CHEMBL111195,1H00,inf
CHEMBL111195,1HSG,inf
CHEMBL111195,4EY7,inf
CHEMBL111195,3ERT,inf
CHEMBL111195,3HS4,inf
CHEMBL111195,2P16,inf
CHEMBL111195,1UDT,inf
CHEMBL111195,1OYT,inf
CHEMBL111195,3BQD,inf
CHEMBL419202,2ITY,inf
CHEMBL419202,1H00,inf
CHEMBL419202,1HSG,inf
CHEMBL419202,4EY7,inf
CHEMBL419202,3ERT,inf
CHEMBL419202,3HS4,inf
CHEMBL419202,2P16,inf
CHEMBL419202,1UDT,inf
