CHEMBL144301,NS(=O)(=O)c1ccc(N/C(S)=N/C(Cc2c[nH]cn2)C(=O)O)cc1
CHEMBL143891,NS(=O)(=O)c1ccc(NC(S)=NC(Cc2c[nH]cn2)C(=O)NC(Cc2ccccc2)C(=O)O)cc1
CHEMBL544826,CCC(C)NCc1cccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)c1.Cl
CHEMBL143033,NS(=O)(=O)c1ccc(N/C(S)=N\CCc2ccccn2)cc1
CHEMBL544129,Cl.NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(CNCc3ccccn3)cc2)cs1
CHEMBL554012,CC(C)NCc1cccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)c1.Cl
CHEMBL544030,COCCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL544030,COCCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL554425,COCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL554425,COCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL543792,CC(C)CNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl
CHEMBL543792,CC(C)CNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl
CHEMBL104754,NS(=O)(=O)c1ccc(SCCCCO)c(F)c1
CHEMBL421060,NS(=O)(=O)OCCOc1ccc(-n2ccnc2)cc1
CHEMBL69114,CN(C)Cc1cc(S(=O)(=O)c2ccc(S(N)(=O)=O)s2)ccc1O
CHEMBL540026,Cl.NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2s1
CHEMBL540026,Cl.NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2s1
CHEMBL553832,COCCOCCNC(C)c1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL553832,COCCOCCNC(C)c1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL555385,CNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL555385,CNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1
CHEMBL554042,Cl.NS(=O)(=O)c1cc2cc(CN(CCO)CCO)sc2s1
CHEMBL554042,Cl.NS(=O)(=O)c1cc2cc(CN(CCO)CCO)sc2s1
CHEMBL552892,CNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl
CHEMBL552892,CNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1
CHEMBL552890,Cl.NS(=O)(=O)c1cc2cc(CNCCO)sc2s1
CHEMBL17,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1
CHEMBL1160966,NC(=O)NCCOCCOCCNC(=O)c1ccc(S(N)(=O)=O)cc1
CHEMBL543798,COCCOCCCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL104621,NS(=O)(=O)c1ccc(S(=O)(=O)CCCCO)s1
CHEMBL543561,Cl.NS(=O)(=O)c1cc2cc(CNC(CO)CO)sc2s1
CHEMBL556132,COCCNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl
CHEMBL556132,COCCNCc1cc2sc(S(N)(=O)=O)cc2s1.Cl
CHEMBL51975,NS(=O)(=O)c1cc2cc(C(=O)NCC(O)CO)sc2s1
CHEMBL51975,NS(=O)(=O)c1cc2cc(C(=O)NCC(O)CO)sc2s1
CHEMBL121137,CC(C)(C)C(=O)Oc1ccc2sc(S(N)(=O)=O)cc2c1
CHEMBL538245,CC(C)CNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL538245,CC(C)CNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL543319,COCCOCCN(CCOC)C(C)c1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL543319,COCCOCCN(CCOC)C(C)c1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL105080,NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2o1
CHEMBL105080,NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2o1
CHEMBL542372,COCCCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL555543,Cl.NS(=O)(=O)c1cc2cc(CN3CCSCC3)sc2s1
CHEMBL555543,Cl.NS(=O)(=O)c1cc2cc(CN3CCSCC3)sc2s1
CHEMBL544731,Cl.NS(=O)(=O)c1cc2cc(C(=O)NCCN3CCSCC3)sc2s1
CHEMBL544731,Cl.NS(=O)(=O)c1cc2cc(C(=O)NCCN3CCSCC3)sc2s1
CHEMBL542122,CC(C=O)N(Cc1cc2cc(S(N)(=O)=O)sc2s1)C(C)C=O.Cl
CHEMBL542122,CC(C=O)N(Cc1cc2cc(S(N)(=O)=O)sc2s1)C(C)C=O.Cl
CHEMBL544738,COCCN(CCOC)Cc1cc2sc(S(N)(=O)=O)cc2s1.Cl
CHEMBL544738,COCCN(CCOC)Cc1cc2sc(S(N)(=O)=O)cc2s1.Cl
CHEMBL545431,Cl.NS(=O)(=O)c1cc2cc(C(=O)NCCN3CCOCC3)sc2s1
CHEMBL545431,Cl.NS(=O)(=O)c1cc2cc(C(=O)NCCN3CCOCC3)sc2s1
CHEMBL122708,C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O
CHEMBL120304,NC(=O)Nc1ccc(S(=O)(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL218490,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL218490,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL52944,NS(=O)(=O)c1cc2cc(CN3CC[S+]([O-])CC3)sc2s1
CHEMBL52944,NS(=O)(=O)c1cc2cc(CN3CC[S+]([O-])CC3)sc2s1
CHEMBL541810,COCCN(CCNC(=O)c1cc2cc(S(N)(=O)=O)sc2s1)CCOC.Cl
CHEMBL1160416,NCC(=O)NCCOCCOCCNC(=O)c1ccc(S(N)(=O)=O)cc1
CHEMBL553217,C[S+]([O-])CCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL553217,C[S+]([O-])CCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL333193,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2
CHEMBL333193,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2
CHEMBL417975,CC(C)CN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL417975,CC(C)CN[C@H]1CCS(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL84649,COC(C)(C)C(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1
CHEMBL553951,Cl.NS(=O)(=O)c1cc2cc(CNCC3CC3)sc2s1
CHEMBL553951,Cl.NS(=O)(=O)c1cc2cc(CNCC3CC3)sc2s1
CHEMBL50395,COCCOCCN(CCOC)C(Cc1ccc(F)cc1)c1cc2cc(S(N)(=O)=O)sc2s1
CHEMBL50395,COCCOCCN(CCOC)C(Cc1ccc(F)cc1)c1cc2cc(S(N)(=O)=O)sc2s1
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
CHEMBL67511,NS(=O)(=O)C(F)(F)F
CHEMBL555889,CN(C)CCNC(=O)c1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL555889,CN(C)CCNC(=O)c1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL51097,NS(=O)(=O)c1cc2cc(C(=O)N(CCO)CCO)sc2s1
CHEMBL51097,NS(=O)(=O)c1cc2cc(C(=O)N(CCO)CCO)sc2s1
CHEMBL120418,NS(=O)(=O)c1cc2c(s1)C(=O)CCS2
CHEMBL120418,NS(=O)(=O)c1cc2c(s1)C(=O)CCS2
CHEMBL1160965,N[C@@H](Cc1ccccc1)C(=O)NCCOCCOCCNC(=O)c1ccc(S(N)(=O)=O)cc1
CHEMBL120917,CC1(C)O[C@H]2[C@@H]3OS(=O)(=O)O[C@@H]3CC[C@@]2(COS(N)(=O)=O)O1
CHEMBL555542,Cl.NS(=O)(=O)c1cc2cc(CNCCCCO)sc2s1
CHEMBL475,C[C@H]1C[C@H](N)c2cc(S(N)(=O)=O)sc2S1(=O)=O
CHEMBL120728,CN(C)S(=O)(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1
CHEMBL19,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
CHEMBL539259,CC(C)(C)NCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL539259,CC(C)(C)NCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL543559,COCCOCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL543559,COCCOCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL273822,CN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL120046,COCCOCCN(CCOC)c1cc2cc(S(N)(=O)=O)sc2s1
CHEMBL120046,COCCOCCN(CCOC)c1cc2cc(S(N)(=O)=O)sc2s1
CHEMBL331858,COc1cccc(N2CCc3cc(S(N)(=O)=O)sc3S2(=O)=O)c1
CHEMBL53964,C[S+]([O-])CCNC(=O)c1cc2cc(S(N)(=O)=O)sc2s1
CHEMBL53964,C[S+]([O-])CCNC(=O)c1cc2cc(S(N)(=O)=O)sc2s1
CHEMBL555548,COCCOCCN(CCOCCOC)Cc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL555548,COCCOCCN(CCOCCOC)Cc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL544970,CSCCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL544970,CSCCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL121031,CCN[C@H]1CN(CCCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL121031,CCN[C@H]1CN(CCCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL333520,NS(=O)(=O)c1cc2cc(N3CCOCC3)sc2s1
CHEMBL333520,NS(=O)(=O)c1cc2cc(N3CCOCC3)sc2s1
CHEMBL121086,CC(C)(C)C(=O)Oc1ccc2cc(S(N)(=O)=O)oc2c1
CHEMBL50929,NCc1cc2cc(S(N)(=O)=O)sc2s1
CHEMBL544032,Cl.NS(=O)(=O)c1cc2cc(CNCCF)sc2s1
CHEMBL544032,Cl.NS(=O)(=O)c1cc2cc(CNCCF)sc2s1
CHEMBL333281,NS(=O)(=O)c1cc2cc(N3CCSCC3)sc2s1
CHEMBL333281,NS(=O)(=O)c1cc2cc(N3CCSCC3)sc2s1
CHEMBL539258,CS(=O)(=O)CCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL539258,CS(=O)(=O)CCNCc1cc2cc(S(N)(=O)=O)sc2s1.Cl
CHEMBL120422,CCCCCCCCCS(=O)(=O)C(F)S(N)(=O)=O
CHEMBL553720,Cl.NS(=O)(=O)c1cc2cc(CNCC(F)(F)F)sc2s1
CHEMBL96020,COCCOC(=O)c1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1
CHEMBL97141,NS(=O)(=O)c1nnc(NS(=O)(=O)c2cccc(C(=O)O)c2)s1
CHEMBL95545,CN(C)CCOCCOC(=O)c1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1
CHEMBL18,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
CHEMBL218490,CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL265261,CC(CN(C)C)OC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1
CHEMBL319110,COCCOC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1
CHEMBL98389,CN(C)CCOC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1
CHEMBL418783,CN(C)CCOCCOC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1
CHEMBL318028,CN(C)CCOC(=O)c1cccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c1
CHEMBL95943,CC(CN(C)C)OC(=O)c1cccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c1
CHEMBL19,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C
CHEMBL100266,CN(C)CCOC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1
CHEMBL73962,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccccc2)s1
CHEMBL95637,Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c1cccc(C(=O)O)c1
CHEMBL95421,COCCOC(=O)c1cccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c1
CHEMBL317807,CN(C)CCOCCOC(=O)c1cccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c1
CHEMBL328648,CN(C)CCOC(=O)c1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1
CHEMBL329311,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(C(=O)O)cc2)s1
CHEMBL328633,NS(=O)(=O)c1nnc(NS(=O)(=O)c2cccc(C(=O)OCCO)c2)s1
CHEMBL98877,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(C(=O)OCCO)cc2)s1
CHEMBL98146,CC(CN(C)C)OC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1
CHEMBL100329,CCN(CC)CCNC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1
CHEMBL317383,CCN(CC)CCNC(=O)c1cccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)c1
CHEMBL95264,CC(CN(C)C)OC(=O)c1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1
CHEMBL99337,CCN(CC)CCNC(=O)c1ccc(S(=O)(=O)/N=c2/sc(S(N)(=O)=O)nn2C)cc1
CHEMBL220491,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CHEMBL99257,CN(C)CCOCCOC(=O)c1cccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)c1
CHEMBL318820,Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c1ccc(C(=O)OCCO)cc1
CHEMBL98871,Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c1ccc(C(=O)O)cc1
CHEMBL309431,CCN(CC)CCNC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1
CHEMBL419329,Cn1nc(S(N)(=O)=O)s/c1=N/S(=O)(=O)c1cccc(C(=O)OCCO)c1
CHEMBL99927,COCCOC(=O)c1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1
CHEMBL220492,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1
CHEMBL69149,Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)c1c(F)c(F)c(F)c(F)c1F
CHEMBL20,CC(=O)Nc1nnc(S(N)(=O)=O)s1
CHEMBL51668,NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(S(N)(=O)=O)cc2)cc1
